自治体コード,行番号,都道府県名,市区町村名,営業施設名称、屋号又は商号,営業施設名称、屋号又は商号（フリガナ）,営業の種類,業態,営業施設所在地,営業施設方書,緯度,経度,営業施設電話番号,法人名,法人番号,法人住所,許可番号,初回許可年月日,許可年月日,許可開始日,許可満了日,廃業年月日,申請区分,許可条件,備考
018000,fBiz00000126460000000003,福井県,福井市,敦賀昆布株式会社　キッチンカー,ツルガコンブカブシキカイシャ　キッチンカー,① 飲食店営業,移動店舗(80L),福井県敦賀市五幡３１－５－１,(県下一円),35.709267,136.091232,0770-47-5852,敦賀昆布株式会社,7210001016736,福井県敦賀市公文名１８号２２番地の６,福井県指令二保第2150152号,2021/11/09,2021/11/09,2021/11/09,2026/11/30,,許可,簡易な営業に限る。車両番号：福井　480　す　5098,
018000,fBiz00000157080000000042,福井県,福井市,株式会社バロー　木崎店,バローキザキテン,① 飲食店営業,寿司,福井県敦賀市木崎２０―１２,,35.643200,136.049671,0770244630,株式会社バロー,8200001031520,岐阜県多治見市大針町661-1,福井県指令二保第2150124号,2021/10/07,2021/10/07,2021/10/07,2028/08/31,,許可,なし,
018000,fBiz00000195860000000001,福井県,福井市,マクドナルド敦賀店,マクドナルドツルガテン,① 飲食店営業,飲食店,福井県敦賀市呉竹町1丁目17－17,,35.646370,136.061201,0770221580,有限会社ウィズ,1210002010116,福井県敦賀市蓬莱町9－34－703,福井県指令二保第2150097号,2021/07/07,2021/07/07,2021/07/07,2026/09/30,,許可, ,
018000,fBiz00000209830000000001,福井県,福井市,アル・プラザ敦賀,アル・プラザツルガ,① 飲食店営業,臨時加工場,福井県敦賀市白銀町１１－５,,35.648207,136.071672,0770237771,株式会社平和堂,3160001008726,滋賀県彦根市西今町1番地,福井県指令二保第2150115号,2021/07/28,2021/07/28,2021/07/28,2026/07/31,,許可,営業所で行う臨時営業に限る。年間30日以内の営業に限る。,
018000,fBiz00000209830000000009,福井県,福井市,アル・プラザ敦賀,アル・プラザツルガ,① 飲食店営業,臨時飲食店(仕出し弁当),福井県敦賀市白銀町11-5,,35.648207,136.071672,0770237771,株式会社平和堂,3160001008726,滋賀県彦根市西今町1番地,福井県指令二保第2150176号,2021/12/28,2021/12/28,2021/12/28,2022/01/03,,許可,許可期限ついては、本人の申請のとおりとする。,
018000,fBiz00000209830000000010,福井県,福井市,アル・プラザ敦賀,アル・プラザツルガ,① 飲食店営業,臨時飲食店(仕出し弁当),福井県敦賀市白銀町11-5 3階カルチャー室,,35.648343,136.071970,0770237771,株式会社平和堂,3160001008726,滋賀県彦根市西今町1番地,福井県指令二保第2250007号,2022/02/02,2022/02/02,2022/02/02,2022/02/04,,許可,許可期限については、本人の申請のとおりとする,
018000,fBiz00000229100000000002,福井県,福井市,ふわふわクレープ移動販売車,フワフワクレープイドウハンバイシャ,① 飲食店営業,飲食店営業,福井県大野市蔵生137-21-1,,35.979772,136.487533,0575725031,有限会社まるや石油,5200002028106,岐阜県郡上市高鷲町大鷲41-5,2130067,2021/07/02,2021/07/02,2021/07/02,2026/07/31,,許可,車両番号：岐阜800せ1658　車種：ﾄﾖﾀ　排気量：3.43L,
018000,fBiz00000244430000000002,福井県,福井市,Pasta&Wine1803,パスタアンドワインイチハチゼロサン,① 飲食店営業,,福井県あわら市二面４１－２１－５－５,,36.225950,136.195585,0776-43-9874,関山耕人,,福井県あわら市温泉5丁目1803,坂保第2120070号,2021/06/17,2021/06/17,2021/06/17,2026/10/31,,許可,,
018000,fBiz00000244430000000003,福井県,福井市,ゆのまちホルモン,ユノマチホルモン,① 飲食店営業,焼肉屋,福井県あわら市温泉５―１８０３,,36.228562,136.192864,,関山耕人,,福井県あわら市温泉5丁目1803,坂保第2120146号,2021/12/27,2021/12/27,2021/12/27,2027/10/31,,許可,,
018000,fBiz00000250020000000003,福井県,福井市,マツニタカ,マツニタカ,① 飲食店営業,,福井県敦賀市相生町14番28-2号,,35.656226,136.067971,0776-36-4877,有限会社MS＆Aシステムズ,1210002010132,福井県敦賀市開町5番2号,福井県指令二保第2150087号,2021/06/04,2021/06/04,2021/06/04,2027/09/28,,許可,飲食店営業(食堂),
018000,fBiz00000252810000000003,福井県,福井市,ハーツはるえ,ハーツハルエ,① 飲食店営業,,福井県坂井市春江町随応寺25字1番,,36.133033,136.223648,0776515482,福井県民生活協同組合,1210005000221,福井県福井市開発５丁目１６０３番地,坂保第2120138号,2021/12/23,2021/12/23,2021/12/23,2022/01/03,,許可,,
