"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"023100","fBiz00000101610000000003","愛知県","名古屋市中区","株式会社浜乙女　中村工場","カブシキガイシャハマオトメ　ナカムラコウジョウ","⑰ 農産保存食料品製造・加工業","","愛知県名古屋市中村区京田町二丁目8番地","",35.161094,136.867188,"","株式会社浜乙女","5180001032301","愛知県名古屋市中村区名駅４丁目１６番２６号","","","","","","","届出","",""
"023100","fBiz00000101610000000003","愛知県","名古屋市中区","株式会社浜乙女　中村工場","カブシキガイシャハマオトメ　ナカムラコウジョウ","㉒ 海藻製造・加工業","","愛知県名古屋市中村区京田町二丁目8番地","",35.161094,136.867188,"","株式会社浜乙女","5180001032301","愛知県名古屋市中村区名駅４丁目１６番２６号","","","","","","","届出","",""
"023100","fBiz00000103910000000016","愛知県","名古屋市中区","Ｖ・drug　守山小幡店","ブイ・ドラッグ　モリヤマオバタテン","⑬ その他の食料・飲料販売業","ドラッグストア","愛知県名古屋市守山区小幡常燈21番12号","",35.199761,136.973402,"052-758-1921","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"023100","fBiz00000103910000000026","愛知県","名古屋市中区","Ｖ・drug　名古屋豊田店","ブイ・ドラッグ　ナゴヤトヨダテン","⑬ その他の食料・飲料販売業","ドラッグストア","愛知県名古屋市南区豊田三丁目9番13号","",35.104099,136.917356,"052-693-5031","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"023100","fBiz00000103910000000027","愛知県","名古屋市中区","Ｖ・drug　新栄店","ブイ・ドラッグ　シンサカエテン","⑬ その他の食料・飲料販売業","","愛知県名古屋市中区新栄2丁目7番7号","",35.168270,136.923404,"052-249-3600","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"023100","fBiz00000103910000000042","愛知県","名古屋市中区","Ｖ・drug　鳴海山下店","ブイ・ドラッグ　ナルミヤマシタテン","⑬ その他の食料・飲料販売業","ドラッグストア","愛知県名古屋市緑区鳴海町山下59番地","",35.093103,136.950886,"052-846-8771","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"023100","fBiz00000103910000000044","愛知県","名古屋市中区","Ｖ・drug　柴田店","ブイ・ドラッグ　シバタテン","⑬ その他の食料・飲料販売業","ドラッグストア","愛知県名古屋市南区鶴見通2丁目1番地1","",35.075778,136.914231,"052-618-2550","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"023100","fBiz00000103910000000054","愛知県","名古屋市中区","Ｖ・drug　味鋺店","ブイ・ドラッグ　アジマテン","⑬ その他の食料・飲料販売業","ドラッグストア","愛知県名古屋市北区楠三丁目701番地","",35.226945,136.922320,"052-903-8311","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"023100","fBiz00000103910000000058","愛知県","名古屋市中区","Ｖ・drug　みなと店","ブイ・ドラッグ　ミナトテン","⑬ その他の食料・飲料販売業","ドラッグストア","愛知県名古屋市港区築盛町132番地","2階",35.106279,136.871695,"052-364-6270","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"023100","fBiz00000103910000000059","愛知県","名古屋市中区","Ｖ・drug　下之一色店","ブイ・ドラッグ　シモノイッシキテン","⑬ その他の食料・飲料販売業","ドラッグストア","愛知県名古屋市中川区下之一色町宮分149番1","1階",35.124846,136.833025,"052-387-6091","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
