"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"027227","fBiz00000102080000000006","大阪府","東大阪市","東大阪中央センター","ヒガシオオサカチュウオウセンター","③ 乳類販売業","","大阪府東大阪市森河内東2-7-7","",34.683136,135.571688,"06-6781-1294","大阪東部ヤクルト販売株式会社","4122001018047","大阪府八尾市東山本新町３丁目６番４号","","","","","","","届出","",""
"027227","fBiz00000102080000000007","大阪府","東大阪市","長田センター","ナガタセンター","③ 乳類販売業","","大阪府東大阪市長田中1-1-30","",34.677776,135.587982,"","大阪東部ヤクルト販売株式会社","4122001018047","大阪府八尾市東山本新町３丁目６番４号","","","","","","","届出","",""
"027227","fBiz00000102080000000009","大阪府","東大阪市","布施センター","フセセンター","③ 乳類販売業","","大阪府東大阪市永和2-11-24","",34.660833,135.575016,"06-6727-7995","大阪東部ヤクルト販売株式会社","4122001018047","大阪府八尾市東山本新町３丁目６番４号","","","","","","","届出","",""
"027227","fBiz00000102080000000011","大阪府","東大阪市","東大阪東部センター","ヒガシオオサカトウブセンター","③ 乳類販売業","","大阪府東大阪市川田4-7-37","",34.688915,135.629631,"072-963-4017","大阪東部ヤクルト販売株式会社","4122001018047","大阪府八尾市東山本新町３丁目６番４号","","","","","","","届出","",""
"027227","fBiz00000102080000000012","大阪府","東大阪市","東大阪センター","ヒガシオオサカセンター","③ 乳類販売業","","大阪府東大阪市菱江1-23-19","",34.673342,135.613018,"072-963-4009","大阪東部ヤクルト販売株式会社","4122001018047","大阪府八尾市東山本新町３丁目６番４号","","","","","","","届出","",""
"027227","fBiz00000102080000000013","大阪府","東大阪市","枚岡センター","ヒラオカセンター","③ 乳類販売業","","大阪府東大阪市鳥居町1-16","",34.668577,135.641300,"072-981-4580","大阪東部ヤクルト販売株式会社","4122001018047","大阪府八尾市東山本新町３丁目６番４号","","","","","","","届出","",""
"027227","fBiz00000102080000000014","大阪府","東大阪市","東大阪南センター","ヒガシオオサカミナミセンター","③ 乳類販売業","","大阪府東大阪市大蓮北1-2-4","",34.639354,135.578385,"06-6727-7998","大阪東部ヤクルト販売株式会社","4122001018047","大阪府八尾市東山本新町３丁目６番４号","","","","","","","届出","",""
"027227","fBiz00000102080000000015","大阪府","東大阪市","花園東センター","ハナゾノヒガシセンター","③ 乳類販売業","","大阪府東大阪市新池島町3-9-35","",34.656995,135.627124,"072-985-3613","大阪東部ヤクルト販売株式会社","4122001018047","大阪府八尾市東山本新町３丁目６番４号","","","","","","","届出","",""
"027227","fBiz00000103910000000315","大阪府","東大阪市","Ｖ・drug　横枕西店","ブイ・ドラッグ　ヨコマクラニシテン","⑪ 百貨店、総合スーパー","ドラッグストア","大阪府東大阪市横枕西4番27号","",34.680192,135.607353,"072-940-7863","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"027227","fBiz00000103910000000491","大阪府","東大阪市","Ｖ・drug　衣摺加美北店","ブイ・ドラッグ　キズリカミキタテン","⑪ 百貨店、総合スーパー","ドラッグストア","大阪府東大阪市衣摺5丁目20番12号","",34.640411,135.569429,"06-6720-9811","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"027227","fBiz00000108410000000638","大阪府","東大阪市","Rintosull布施店","リントスルフセテン","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","大阪府東大阪市長堂2-1-23　","布施FUKU BLD. 6F",34.664535,135.564752,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"027227","fBiz00000108410000000680","大阪府","東大阪市","コナミスポーツクラブ新石切","コナミスポーツクラブシンイシキリ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","大阪府東大阪市西石切町7丁目1-25","",34.682359,135.635329,"072-980-4550","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"027227","fBiz00000108410000000884","大阪府","東大阪市","ホットヨガスタジオLAVA長田","ホットヨガスタジオラバナガタ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","大阪府東大阪市長田中１－４－１７　","長田センタービル　3F",34.678260,135.591595,"06-6785-0333","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"027227","fBiz00000108410000001072","大阪府","東大阪市","フィットプレイス若江岩田		","フィットプレイスワカエイワタ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","大阪府東大阪市岩田町ル3-10-8 ","エーアイ岩田ビ",34.663542,135.608977,"072-200-2027","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"027227","fBiz00000108410000001432","大阪府","東大阪市","SOELU瓢箪山","ソエルヒョウタンヤマ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","水素水サーバー","大阪府東大阪市旭町22-26　枚岡プラザ2F","",34.667670,135.635520,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"027227","fBiz00000108410000001516","大阪府","東大阪市","LAVA東花園","ラバヒガシハナゾノ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","大阪府東大阪市吉田6-1-19 花園アロービル2F","",34.668953,135.626324,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"027227","fBiz00000108410000001643","大阪府","東大阪市","コナミ新石切","コナミシンイシキリ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","水素水サーバー","大阪府東大阪市西石切町７丁目１－２５","",34.682359,135.635329,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
