"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"028204","fBiz00000108410000000409","兵庫県","西宮市","コナミスポーツクラブ本店西宮","コナミスポーツクラブホンテンニシノミヤ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","兵庫県西宮市高松町３－７","",34.745154,135.355590,"079-869-0573","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"028204","fBiz00000108410000000512","兵庫県","西宮市","マシンピラティススタジオRintosull西宮北口店","マシンピラティススタジオリントスルニシノミヤキタグチテン","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","兵庫県西宮市高松町3-34","パセオ・エスタシオン5F",34.744635,135.356379,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"028204","fBiz00000108410000000546","兵庫県","西宮市","FITBASE24 門戸厄神","フィットベースニジュウヨンモンドヤクジン","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","兵庫県西宮市下大市東町24-15","",34.759560,135.362675,"0798-31-6016","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"028204","fBiz00000113800000000004","兵庫県","西宮市","弟子屈ラーメン　ららぽーと甲子園店","テシカガラーメン　ララポートコウシエンテン","① 飲食店営業","ラーメン店","兵庫県西宮市甲子園八番町1-100","ららぽーと甲子園　2階フードコート",34.717247,135.364231,"0798-61-8050","株式会社エフビーエス","1430001028954","北海道札幌市中央区南一条西７丁目２０番地１札幌スカイビル３Ｆ－Ａ室","2023800728",2023/11/10,2023/11/10,2023/11/10,2029/11/30,"","許可","",""
"028204","fBiz00000115920000000448","兵庫県","西宮市","カルディコーヒーファーム　甲子園店","カルディコーヒーファーム　コウシエンテン","⑬ その他の食料・飲料販売業","小売業","兵庫県西宮市甲子園八番町1-100　","ららぽーと甲子園1F",34.717247,135.364231,"0798-81-6605","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"028204","fBiz00000115920000000451","兵庫県","西宮市","カルディコーヒーファーム　エビスタ西宮店","カルディコーヒーファーム　エビスタニシノミヤテン","⑬ その他の食料・飲料販売業","小売業","兵庫県西宮市田中町1-6","エビスタ西宮1Ｆ",34.737200,135.338211,"0798-34-8872","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"028204","fBiz00000115920000000512","兵庫県","西宮市","カルディコーヒーファーム　阪急西宮ガーデンズ店","カルディコーヒーファーム　ハンキュウニシノミヤガーデンズテン","⑬ その他の食料・飲料販売業","小売業","兵庫県西宮市高松町14-2","阪急西宮ガーデンズ　1Ｆ",34.743823,135.359264,"0798-67-8520","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"028204","fBiz00000129180000001050","兵庫県","西宮市","ダイソー　フレンテ西宮店","ダイソー　フレンテニシノミヤテン","⑬ その他の食料・飲料販売業","","兵庫県西宮市池田町１１－１","フレンテ西宮店内３階",34.738321,135.348090,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"028204","fBiz00000129180000001105","兵庫県","西宮市","ダイソー　イオン西宮店","ダイソー　イオンニシノミヤテン","⑬ その他の食料・飲料販売業","","兵庫県西宮市林田町２－２４","イオン西宮店２階",34.755907,135.362051,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"028204","fBiz00000129180000001118","兵庫県","西宮市","ダイソー　ドン・キホーテ西宮店","ダイソー　ドン・キホーテニシノミヤテン","⑬ その他の食料・飲料販売業","","兵庫県西宮市六湛寺町１－１３","",34.738560,135.343377,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"028204","fBiz00000129180000001119","兵庫県","西宮市","ダイソー　グルメシティ今津店","ダイソー　グルメシティテン","⑬ その他の食料・飲料販売業","","兵庫県西宮市今津山中町１１番地９","",34.731819,135.357970,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"028204","fBiz00000129180000001120","兵庫県","西宮市","ダイソー　ムコダンモール店","ダイソー　ムコダンモールテン","⑬ その他の食料・飲料販売業","","兵庫県西宮市高須町１－１－５４","",34.704434,135.370423,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"028204","fBiz00000129180000001131","兵庫県","西宮市","ダイソー　ららぽーと甲子園店","ダイソー　ララポートコウシエンテン","⑬ その他の食料・飲料販売業","","兵庫県西宮市甲子園八番町１－１００","ららぽーと甲子園２階",34.717257,135.364548,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
