"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"014150","fBiz00000106930000000008","神奈川県","相模原市中央区","まあむキッズ相模大野北口","マアムキッズサガミオオノキタグチ","① 飲食店営業","給食","神奈川県相模原市南区相模大野5‐29‐10‐1","",35.531271,139.432561,"07035337730","株式会社サンユー","8021001036610","神奈川県平塚市夕陽ケ丘３番２３号","第04-001-0709号",2022/12/12,2022/12/12,2022/12/12,2028/12/23,"","許可","",""
"014150","fBiz00000106930000000031","神奈川県","相模原市中央区","まあむキッズ相模大野南口","マアムキッズサガミオオノミナミグチ","① 飲食店営業","給食","神奈川県相模原市南区相模大野7-7-5","",35.532052,139.439565,"070-3870-9424","株式会社サンユー","8021001036610","神奈川県平塚市夕陽ケ丘３番２３号","05-001-0858",2024/02/22,2024/02/22,2024/02/22,2031/03/30,"","許可","",""
"014150","fBiz00000106930000000032","神奈川県","相模原市中央区","まあむキッズ相模大野北口　本園","マアムキッズサガミオオノキタグチ　ホンエン","① 飲食店営業","給食","神奈川県相模原市南区相模大野4丁目5番17号","",35.532263,139.431072,"07035337730","株式会社サンユー","8021001036610","神奈川県平塚市夕陽ケ丘３番２３号","05-001-0864",2024/02/22,2024/02/22,2024/02/22,2031/02/21,"","許可","",""
"014150","fBiz00000107720000000032","神奈川県","相模原市中央区","CRAZY PANTRYイオン相模原店	","クレイジーパントリーイオンサガミハラテン","⑥ 弁当販売業","","","","","","","","","","","","","","","","届出","",""
"014150","fBiz00000107720000000032","神奈川県","相模原市中央区","CRAZY PANTRYイオン相模原店	","クレイジーパントリーイオンサガミハラテン","⑦ 野菜果物販売業","","","","","","","","","","","","","","","","届出","",""
"014150","fBiz00000107720000000141","神奈川県","相模原市中央区","わくわく広場　アリオ橋本店","ワクワクヒロバ　アリオハシモトテン","⑬ その他の食料・飲料販売業","","","","","","","","","","","","","","","","届出","",""
"014150","fBiz00000108410000000009","神奈川県","相模原市中央区","FITNESS＆SPA LIFEWELL相模大野","フィットネスアンドスパライフウェルサガミオオノ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","神奈川県相模原市南区相模大野3-22-1","2F",35.533558,139.436826,"042-767-3733","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"014150","fBiz00000108410000000526","神奈川県","相模原市中央区","東急スポーツオアシス相模原","トウキュウスポーツオアシスサガミハラ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","神奈川県相模原市中央区中央2丁目12-18　1階","",35.572048,139.373795,"042-707-0091","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"014150","fBiz00000111510000000002","神奈川県","相模原市中央区","","","㉖ 集団給食施設","","","","","","","","","","","","","","","","届出","",""
"014150","fBiz00000114570000000114","神奈川県","相模原市中央区","ローソンストア１００　相模原千代田店","ローソンストアヒャク　サガミハラチヨダテン","⑩ コンビニエンスストア","コンビニエンスストア","神奈川県相模原市中央区千代田6-12-7","",35.559590,139.378152,"0427041799","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
